id;name;business_areas;address;status
1;Isle;Fantastic;connecting Personal Loan Account;50132
2;Borders Money Market Account;Health interface bypass;Enterprise-wide Frozen;92216
3;override orchid reboot;invoice;matrix;51605
4;users backing up;drive;Steel Automotive Ball;37397
5;panel;Configuration;Martinique system engine Australian Dollar;40753
6;Technician Central;standardization Buckinghamshire Refined Fresh Towels;Tuna Haven Handcrafted;8700
7;Russian Ruble standardization;Borders;Awesome;17876
8;District French Southern Territories;middleware next-generation;viral;35093
9;Concrete 24/7;Handcrafted Frozen Shoes generating strategize;plum application;25466
10;Refined Cotton Mouse copying architectures;THX generating Borders;composite;16378
