id;descriptons;reason_name;status
1;microchip Bridge;payment;68645
2;Borders Money Market Account SMTP;invoice Small Rubber Cheese Gloves;3712
3;connect Automotive;Refined reboot Hong Kong;51265
4;incentivize invoice digital;Kids Shirt;68703
5;Accountability;envisioneer Wyoming toolset;74413
6;Principal Brand Tasty Fresh Keyboard;calculate Borders;14933
7;Generic Fresh Ball radical Senior;parse capacitor;14858
8;Tuna;Technician e-tailers programming;59770
9;maximized;SMS Electronics EXE;64205
10;Pizza;Soft;90838
